

27.11;2
25.67;3
24.64;4
23.85;5
23.24;6
22.73;7
22.22;8
21.72;9
21.22;10
20.72;11
20.23;12
19.75;13
19.27;14
18.79;15
18.32;16
17.85;17
17.38;18
16.93;19
16.47;20
16.02;21
15.57;22
15.13;23
14.69;24
14.26;25
13.83;26
13.41;27
12.99;28
12.57;29
12.16;30
11.76;31
11.36;32
10.96;33
10.57;34
10.18;35
9.8;36
9.42;37
9.05;38
8.68;39
8.32;40
7.96;41
7.61;42
7.27;43
6.93;44
6.59;45
6.26;46
5.94;47
5.62;48
5.3;49
4.99;50
4.69;51
4.39;52
4.09;53
3.8;54
3.52;55
3.24;56
3.11;56.5
2.95;57
2.71;57.5
2.36;58
2.14;58.25
1.99;58.37
1.75;58.5
1;58.5
0;58.5
