36.268,0.047
35.612,1.633
34.962,3.218
34.318,4.804
33.68,6.39
33.048,7.976
32.422,9.563
31.802,11.15
31.189,12.737
30.581,14.324
29.98,15.912
29.385,17.499
28.796,19.087
28.214,20.675
27.638,22.263
27.069,23.852
26.506,25.441
25.949,27.029
25.399,28.618
24.856,30.207
24.319,31.796
23.789,33.386
23.266,34.975
22.75,36.565
22.24,38.154
21.738,39.744
21.242,41.334
20.753,42.923
20.272,44.513
19.798,46.103
19.331,47.693
18.871,49.283
18.419,50.873
17.974,52.463
17.536,54.054
17.536,54.054
17.313,54.811
17.089,55.472
16.862,56.063
16.63,56.602
16.393,57.099
16.149,57.563
15.898,57.999
15.639,58.411
15.372,58.802
15.098,59.174
14.815,59.529
14.524,59.867
14.224,60.19
13.916,60.498
13.601,60.791
13.277,61.069
12.946,61.334
12.608,61.585
12.263,61.821
11.911,62.044
11.552,62.252
11.187,62.447
10.817,62.627
10.442,62.793
10.061,62.945
9.676,63.083
9.287,63.206
8.895,63.315
8.499,63.409
8.1,63.488
7.699,63.553
7.297,63.603
6.893,63.638
5.635,63.686
